Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_B: grc=True, freeze=False",71,21.12,284,"1,0",0.7605897750558498,0.23941022494415026,3578880.0
"Exp_B: grc=True, freeze=False",72,21.12,288,"1,0",0.7454805588250095,0.2545194411749905,3578880.0
"Exp_B: grc=True, freeze=False",73,21.12,292,"1,0",0.7379587305748746,0.26204126942512546,3578880.0
"Exp_B: grc=True, freeze=False",74,21.12,296,"1,0",0.7659724491478198,0.23402755085218016,3578880.0
"Exp_B: grc=True, freeze=False",75,21.12,300,"1,0",0.7555851206157476,0.2444148793842524,3578880.0
"Exp_B: grc=True, freeze=False",76,21.12,304,"1,0",0.7577640102845757,0.24223598971542423,3578880.0
"Exp_B: grc=True, freeze=False",77,21.12,308,"1,0",0.7532488248568359,0.2467511751431641,3578880.0
"Exp_B: grc=True, freeze=False",78,21.12,312,"1,0",0.7592763933814025,0.24072360661859746,3578880.0
"Exp_B: grc=True, freeze=False",79,21.12,316,"1,0",0.7578562528190034,0.24214374718099663,3578880.0
"Exp_B: grc=True, freeze=False",80,21.12,320,"1,0",0.7503990687575313,0.24960093124246877,3578880.0
"Exp_B: grc=True, freeze=False",81,21.12,324,"1,0",0.7461930571642555,0.2538069428357444,3578880.0
"Exp_B: grc=True, freeze=False",82,21.12,328,"1,0",0.7522280761316675,0.24777192386833252,3578880.0
"Exp_B: grc=True, freeze=False",83,21.12,332,"1,0",0.757083661625943,0.24291633837405696,3578880.0
"Exp_B: grc=True, freeze=False",84,21.12,336,"1,0",0.7490591299882137,0.2509408700117864,3578880.0
"Exp_B: grc=True, freeze=False",85,21.12,340,"1,0",0.7646765230065935,0.2353234769934065,3578880.0
"Exp_B: grc=True, freeze=False",86,21.12,344,"1,0",0.7542996480600316,0.24570035193996845,3578880.0
"Exp_B: grc=True, freeze=False",87,21.12,348,"1,0",0.7519708409376057,0.24802915906239428,3578880.0
